title,genre,overview,content
Back to the Future,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",adventure comedy scifi marty mcfly a yearold high school student is accidentally sent thirty years into the past in a timetraveling delorean invented by his close friend the eccentric scientist doc brown
Once Upon a Time in the West,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,western a mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad
Psycho,"Horror, Mystery, Thriller","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",horror mystery thriller a phoenix secretary embezzles  from her employers client goes on the run and checks into a remote motel run by a young man under the domination of his mother
Casablanca,"Drama, Romance, War",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,drama romance war a cynical expatriate american cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the nazis in french morocco
Modern Times,"Comedy, Drama, Family",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,comedy drama family the tramp struggles to live in modern industrial society with the help of a young homeless woman
City Lights,"Comedy, Drama, Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",comedy drama romance with the aid of a wealthy erratic tippler a dewyeyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically
Capharnaüm,Drama,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",drama while serving a fiveyear sentence for a violent crime a yearold boy sues his parents for neglect
Ayla: The Daughter of War,"Biography, Drama, History","In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",biography drama history in  amidst the ravages of the korean war sergeant sleyman stumbles upon a halffrozen little girl with no parents and no help in sight frantic scared and on the verge of death                 see full summary 
Vikram Vedha,"Action, Crime, Drama","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",action crime drama vikram a nononsense police officer accompanied by simon his partner is on the hunt to capture vedha a smuggler and a murderer vedha tries to change vikrams life which leads to a conflict
Kimi no na wa.,"Animation, Drama, Fantasy","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",animation drama fantasy two strangers find themselves linked in a bizarre way when a connection forms will distance be the only thing to keep them apart
Dangal,"Action, Biography, Drama",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,action biography drama former wrestler mahavir singh phogat and his two wrestler daughters struggle towards glory at the commonwealth games in the face of societal oppression
